Vitaliys-MBP:assignment3 vitaliy$ java WordCount
Enter Filename:radiohead_lotus_flower.txt
Total words = 79
11:	the
10:	i
8:	you
8:	what
8:	to
7:	your
7:	want
7:	is
6:	and
6:	free
6:	just
6:	set
6:	i'll
5:	heart
5:	we
5:	will
4:	do
4:	my
4:	see
3:	inside
3:	upon
3:	space
3:	empty
3:	'cause
3:	weeds
3:	stick
3:	there's
3:	all
3:	an
3:	take
3:	as
3:	moon
3:	into
3:	root
3:	now
3:	where
3:	a
2:	unfurl
2:	lotus
2:	listen
2:	habit
2:	me
2:	if
2:	flowers
2:	shrink
2:	slowly
2:	ballooning
2:	cut
2:	head
2:	so
2:	can't
2:	off
2:	fast
2:	kick
1:	invisible
1:	while
1:	float
1:	bird
1:	pit
1:	darkness
1:	dance
1:	beneath
1:	shape
1:	myself
1:	fill
1:	feed
1:	be
1:	away
1:	groove
1:	disappear
1:	mice
1:	around
1:	cat
1:	quiet
1:	lights
1:	we'll
1:	room
1:	slip
1:	pocket


